cvegeo,municipio,grupo,categoria_grupo,indicador,valor,poblacion_grupo
30001,Acajete,Adultos mayores 65+,Edad,pobreza,60.689306,728
30002,Acatlán,Adultos mayores 65+,Edad,pobreza,68.125,287
30003,Acayucan,Adultos mayores 65+,Edad,pobreza,58.040311,7474
30004,Actopan,Adultos mayores 65+,Edad,pobreza,42.866719,6244
30005,Acula,Adultos mayores 65+,Edad,pobreza,44.983871,722
30006,Acultzingo,Adultos mayores 65+,Edad,pobreza,76.658659,1855
30007,Camarón de Tejeda,Adultos mayores 65+,Edad,pobreza,42.067155,856
30008,Alpatláhuac,Adultos mayores 65+,Edad,pobreza,74.493527,1127
30009,Alto Lucero de Gutiérrez Barrios,Adultos mayores 65+,Edad,pobreza,52.645119,3645
30010,Altotonga,Adultos mayores 65+,Edad,pobreza,80.478495,4528
30011,Alvarado,Adultos mayores 65+,Edad,pobreza,28.437279,5127
30012,Amatitlán,Adultos mayores 65+,Edad,pobreza,28.248897,1186
30013,Naranjos Amatlán,Adultos mayores 65+,Edad,pobreza,43.833703,4125
30014,Amatlán de los Reyes,Adultos mayores 65+,Edad,pobreza,48.630406,4446
30015,Angel R. Cabada,Adultos mayores 65+,Edad,pobreza,46.191576,4493
30016,La Antigua,Adultos mayores 65+,Edad,pobreza,34.339749,2684
30017,Apazapan,Adultos mayores 65+,Edad,pobreza,41.293313,696
30018,Aquila,Adultos mayores 65+,Edad,pobreza,81.762821,164
30019,Astacinga,Adultos mayores 65+,Edad,pobreza,92.239024,428
30020,Atlahuilco,Adultos mayores 65+,Edad,pobreza,93.078459,740
30021,Atoyac,Adultos mayores 65+,Edad,pobreza,53.059347,2770
30022,Atzacan,Adultos mayores 65+,Edad,pobreza,77.486165,1886
30023,Atzalan,Adultos mayores 65+,Edad,pobreza,61.587106,5586
30024,Tlaltetela,Adultos mayores 65+,Edad,pobreza,68.581446,1346
30025,Ayahualulco,Adultos mayores 65+,Edad,pobreza,92.365756,2611
30026,Banderilla,Adultos mayores 65+,Edad,pobreza,39.439785,1638
30027,Benito Juárez,Adultos mayores 65+,Edad,pobreza,76.633166,2693
30028,Boca del Río,Adultos mayores 65+,Edad,pobreza,28.775338,16224
30029,Calcahualco,Adultos mayores 65+,Edad,pobreza,87.036817,895
30030,Camerino Z. Mendoza,Adultos mayores 65+,Edad,pobreza,41.111601,4590
30031,Carrillo Puerto,Adultos mayores 65+,Edad,pobreza,63.620859,1840
30032,Catemaco,Adultos mayores 65+,Edad,pobreza,72.130047,5088
30033,Cazones de Herrera,Adultos mayores 65+,Edad,pobreza,68.680727,3277
30034,Cerro Azul,Adultos mayores 65+,Edad,pobreza,49.419465,3522
30035,Citlaltépetl,Adultos mayores 65+,Edad,pobreza,74.296618,2094
